Data	MoNbTaWV_2D_silea
Recipe	MISAC3
Points	3531
X-Resolution	1.000000
	       Raw	  RawLevel	    Normal	     Rough	      Wavi
302	   69991.2	    132070	    132035	    132035	    132035
303	   70439.1	    132575	    132540	    132540	    132540
304	   70875.7	    133069	    133035	    133035	    133035
305	   71306.9	    133556	    133517	    133517	    133517
306	   71716.6	    134022	    133982	    133982	    133982
307	   72105.4	    134468	    134432	    134432	    134432
308	   72480.1	    134899	    134868	    134868	    134868
309	   72848.4	    135325	    135292	    135292	    135292
310	   73206.4	    135739	    135705	    135705	    135705
311	   73548.1	    136138	    136110	    136110	    136110
312	     73884	    136532	    136508	    136508	    136508
313	   74219.6	    136925	    136901	    136901	    136901
314	   74556.1	    137319	    137290	    137290	    137290
315	   74889.4	    137708	    137673	    137673	    137673
316	   75201.9	    138077	    138047	    138047	    138047
317	   75496.8	    138431	    138417	    138417	    138417
318	   75812.4	    138805	    138788	    138788	    138788
319	   76134.6	    139184	    139161	    139161	    139161
320	   76447.5	    139555	    139537	    139537	    139537
321	   76767.7	    139934	    139916	    139916	    139916
322	     77096	    140319	    140297	    140297	    140297
323	   77415.8	    140697	    140681	    140681	    140681
324	     77742	    141082	    141070	    141070	    141070
325	   78082.7	    141481	    141465	    141465	    141465
326	   78431.5	    141887	    141866	    141866	    141866
327	   78776.5	    142290	    142269	    142269	    142269
328	   79125.1	    142697	    142673	    142673	    142673
329	   79472.2	    143101	    143076	    143076	    143076
330	   79814.1	    143501	    143477	    143477	    143477
331	   80162.5	    143906	    143872	    143872	    143872
332	   80496.3	    144295	    144257	    144257	    144257
333	   80806.9	    144663	    144631	    144631	    144631
334	   81103.6	    145018	    144997	    144997	    144997
335	   81406.6	    145379	    145362	    145362	    145362
336	   81720.2	    145750	    145727	    145727	    145727
337	     82031	    146118	    146091	    146091	    146091
338	   82333.1	    146478	    146453	    146453	    146453
339	   82636.4	    146838	    146812	    146812	    146812
340	   82930.8	    147190	    147172	    147172	    147172
341	   83223.5	    147542	    147538	    147538	    147538
342	   83536.1	    147915	    147916	    147916	    147916
343	   83887.4	    148324	    148309	    148309	    148309
344	   84238.7	    148733	    148712	    148712	    148712
345	   84585.9	    149138	    149119	    149119	    149119
346	   84937.8	    149548	    149529	    149529	    149529
347	   85289.5	    149958	    149942	    149942	    149942
348	   85651.1	    150378	    150360	    150360	    150360
349	   86015.3	    150800	    150783	    150783	    150783
350	     86385	    151228	    151209	    151209	    151209
351	     86766	    151666	    151635	    151635	    151635
352	   87130.8	    152087	    152056	    152056	    152056
353	   87483.6	    152497	    152471	    152471	    152471
354	   87831.5	    152903	    152881	    152881	    152881
355	   88181.7	    153311	    153289	    153289	    153289
356	   88537.6	    153724	    153693	    153693	    153693
357	   88881.1	    154124	    154089	    154089	    154089
358	   89208.8	    154508	    154477	    154477	    154477
359	   89524.3	    154882	    154857	    154857	    154857
360	   89846.1	    155260	    155230	    155230	    155230
361	   90156.4	    155627	    155597	    155597	    155597
362	   90458.7	    155986	    155957	    155957	    155957
363	   90746.6	    156331	    156313	    156313	    156313
364	   91031.5	    156677	    156674	    156674	    156674
365	   91355.6	    157059	    157043	    157043	    157043
366	   91680.3	    157441	    157417	    157417	    157417
367	     91999	    157818	    157790	    157790	    157790
368	   92321.3	    158195	    158159	    158159	    158159
369	   92607.4	    158540	    158526	    158526	    158526
370	   92907.3	    158900	    158898	    158898	    158898
371	   93242.1	    159293	    159279	    159279	    159279
372	   93578.9	    159688	    159667	    159667	    159667
373	   93922.4	    160088	    160058	    160058	    160058
374	   94248.9	    160471	    160449	    160449	    160449
375	   94567.8	    160850	    160841	    160841	    160841
376	   94909.9	    161252	    161236	    161236	    161236
377	   95275.1	    161672	    161629	    161629	    161629
378	   95611.1	    162061	    162010	    162010	    162010
379	   95901.6	    162408	    162375	    162375	    162375
380	   96175.4	    162741	    162730	    162730	    162730
381	   96469.2	    163095	    163089	    163089	    163089
382	   96785.1	    163470	    163457	    163457	    163457
383	   97117.7	    163859	    163829	    163829	    163829
384	   97434.7	    164232	    164198	    164198	    164198
385	   97734.5	    164589	    164561	    164561	    164561
386	   98030.1	    164942	    164917	    164917	    164917
387	   98324.5	    165294	    165269	    165269	    165269
388	   98617.4	    165644	    165617	    165617	    165617
389	   98903.7	    165988	    165962	    165962	    165962
390	   99186.3	    166327	    166305	    166305	    166305
391	   99459.9	    166661	    166650	    166650	    166650
392	   99762.2	    167020	    166997	    166997	    166997
393	    100058	    167373	    167346	    167346	    167346
394	    100342	    167715	    167696	    167696	    167696
395	    100627	    168059	    168048	    168048	    168048
396	    100928	    168419	    168408	    168408	    168408
397	    101249	    168798	    168771	    168771	    168771
398	    101562	    169166	    169134	    169134	    169134
399	    101854	    169516	    169494	    169494	    169494
400	    102151	    169871	    169853	    169853	    169853
401	    102456	    170234	    170212	    170212	    170212
402	    102759	    170594	    170571	    170571	    170571
403	    103062	    170954	    170928	    170928	    170928
404	    103357	    171307	    171284	    171284	    171284
405	    103649	    171657	    171643	    171643	    171643
406	    103947	    172014	    172007	    172007	    172007
407	    104265	    172393	    172381	    172381	    172381
408	    104603	    172787	    172760	    172760	    172760
409	    104932	    173172	    173136	    173136	    173136
410	    105240	    173536	    173505	    173505	    173505
411	    105539	    173893	    173865	    173865	    173865
412	    105830	    174242	    174220	    174220	    174220
413	    106132	    174600	    174572	    174572	    174572
414	    106414	    174940	    174925	    174925	    174925
415	    106697	    175284	    175286	    175286	    175286
416	    107021	    175668	    175659	    175659	    175659
417	    107359	    176063	    176043	    176043	    176043
418	    107700	    176461	    176428	    176428	    176428
419	    108031	    176847	    176804	    176804	    176804
420	    108332	    177203	    177169	    177169	    177169
421	    108614	    177543	    177524	    177524	    177524
422	    108902	    177892	    177877	    177877	    177877
423	    109214	    178259	    178231	    178231	    178231
424	    109509	    178610	    178583	    178583	    178583
425	    109785	    178947	    178936	    178936	    178936
426	    110092	    179312	    179290	    179290	    179290
427	    110398	    179674	    179644	    179644	    179644
428	    110687	    180020	    179997	    179997	    179997
429	    110976	    180368	    180348	    180348	    180348
430	    111270	    180719	    180699	    180699	    180699
431	    111563	    181070	    181051	    181051	    181051
432	    111865	    181430	    181404	    181404	    181404
433	    112163	    181783	    181755	    181755	    181755
434	    112441	    182121	    182105	    182105	    182105
435	    112736	    182475	    182454	    182454	    182454
436	    113044	    182838	    182800	    182800	    182800
437	    113328	    183177	    183134	    183134	    183134
438	    113583	    183487	    183457	    183457	    183457
439	    113814	    183779	    183780	    183780	    183780
440	    114076	    184105	    184116	    184116	    184116
441	    114395	    184482	    184469	    184469	    184469
442	    114722	    184864	    184831	    184831	    184831
443	    115027	    185225	    185190	    185190	    185190
444	    115314	    185570	    185541	    185541	    185541
445	    115596	    185909	    185886	    185886	    185886
446	    115880	    186250	    186226	    186226	    186226
447	    116161	    186589	    186564	    186564	    186564
448	    116440	    186925	    186896	    186896	    186896
449	    116714	    187255	    187223	    187223	    187223
450	    116970	    187568	    187544	    187544	    187544
451	    117219	    187876	    187865	    187865	    187865
452	    117487	    188204	    188189	    188189	    188189
453	    117767	    188541	    188519	    188519	    188519
454	    118043	    188875	    188849	    188849	    188849
455	    118320	    189207	    189177	    189177	    189177
456	    118580	    189524	    189503	    189503	    189503
457	    118831	    189836	    189834	    189834	    189834
458	    119117	    190182	    190174	    190174	    190174
459	    119426	    190548	    190522	    190522	    190522
460	    119724	    190902	    190870	    190870	    190870
461	    120009	    191243	    191211	    191211	    191211
462	    120281	    191573	    191545	    191545	    191545
463	    120548	    191897	    191873	    191873	    191873
464	    120811	    192218	    192199	    192199	    192199
465	    121079	    192545	    192524	    192524	    192524
466	    121354	    192875	    192848	    192848	    192848
467	    121615	    193194	    193172	    193172	    193172
468	    121871	    193510	    193498	    193498	    193498
469	    122148	    193845	    193827	    193827	    193827
470	    122432	    194186	    194158	    194158	    194158
471	    122704	    194514	    194488	    194488	    194488
472	    122970	    194838	    194815	    194815	    194815
473	    123232	    195158	    195142	    195142	    195142
474	    123501	    195486	    195474	    195474	    195474
475	    123781	    195824	    195818	    195818	    195818
476	    124069	    196170	    196191	    196191	    196191
477	    124355	    196528	    196617	    196617	    196617
478	    124772	    197035	    197094	    197094	    197094
479	    125486	    197780	    197554	    197554	    197554
480	    125956	    198239	    197887	    197887	    197887
481	    125797	    198136	    198059	    198059	    198059
482	    125625	    198050	    198151	    198151	    198151
483	    125720	    198212	    198264	    198264	    198264
484	    125894	    198441	    198426	    198426	    198426
485	    126050	    198653	    198613	    198613	    198613
486	    126181	    198839	    198794	    198794	    198794
487	    126288	    199001	    198955	    198955	    198955
488	    126371	    199138	    199093	    199093	    199093
489	    126427	    199249	    199214	    199214	    199214
490	    126457	    199339	    199327	    199327	    199327
491	    126501	    199445	    199445	    199445	    199445
492	    126588	    199589	    199573	    199573	    199573
493	    126676	    199733	    199713	    199713	    199713
494	    126749	    199865	    199867	    199867	    199867
495	    126838	    200017	    200053	    200053	    200053
496	    126972	    200222	    200298	    200298	    200298
497	    127220	    200542	    200625	    200625	    200625
498	    127599	    200987	    201035	    201035	    201035
499	    128055	    201504	    201510	    201510	    201510
500	    128540	    202045	    202017	    202017	    202017
501	    129017	    202575	    202528	    202528	    202528
502	    129448	    203062	    203030	    203030	    203030
503	    129860	    203534	    203528	    203528	    203528
504	    130297	    204032	    204031	    204031	    204031
505	    130766	    204561	    204546	    204546	    204546
506	    131245	    205096	    205066	    205066	    205066
507	    131716	    205622	    205578	    205578	    205578
508	    132163	    206123	    206070	    206070	    206070
